Entropy before packing,Entropy after packing ,Difference in Entropy,Our Results
1.043827849,0.880040815,-0.163787034,Not packed
2.341323918,2.862366287,0.521042369,Not packed
1.240606871,0.836770803,-0.403836068,Not packed
4.142495331,3.441284294,-0.701211037,Not packed
2.44488613,1.686815258,-0.758070872,Not packed
1.273007554,1.89204533,0.619037776,Not packed
2.510533833,2.009880948,-0.500652885,Not packed
2.189320759,1.648128661,-0.541192098,Not packed
1.257995966,0.832777726,-0.42521824,Not packed
1.167424237,0.853694869,-0.313729368,Not packed
1.192176815,0.851018085,-0.34115873,Not packed
1.144559279,1.939930354,0.795371075,Not packed
2.063002847,1.686430313,-0.376572534,Not packed
2.94682464,2.562670669,-0.384153971,Not packed
2.28121462,1.673649061,-0.607565559,Not packed
2.46833955,2.765114675,0.296775126,Not packed
2.856128631,2.62047446,-0.23565417,Not packed
2.71712638,2.125606831,-0.591519549,Not packed
1.171085635,0.857669057,-0.313416578,Not packed
2.114347348,1.680342905,-0.434004443,Not packed
1.761572005,1.622081376,-0.13949063,Not packed
1.17809028,0.834382455,-0.343707825,Not packed
2.185068509,1.804448017,-0.380620492,Not packed
1.209328655,1.834698636,0.625369981,Not packed
2.964906983,2.744029294,-0.220877689,Not packed
1.41238822,1.632950978,0.220562758,Not packed
2.370328518,1.603309822,-0.767018696,Not packed
1.934648753,1.631140777,-0.303507976,Not packed
3.89114637,3.211033946,-0.680112424,Not packed
3.682246744,3.213813555,-0.468433189,Not packed
2.392067404,1.601352387,-0.790715017,Not packed
4.728883533,3.542077201,-1.186806332,Not packed
3.603274688,3.765573799,0.162299111,Not packed
1.55751345,1.814971498,0.257458048,Not packed
3.080516159,3.365619166,0.285103006,Not packed
2.826168986,3.5974549,0.771285913,Not packed
1.038262136,0.889331514,-0.148930622,Not packed
1.193146753,0.845769874,-0.347376879,Not packed
0.987325691,0.880374558,-0.106951133,Not packed
1.144132229,0.863238162,-0.280894068,Not packed
4.271406205,3.428624281,-0.842781924,Not packed
0.963790098,0.894533801,-0.069256297,Not packed
1.949076846,1.73266892,-0.216407926,Not packed
1.249645722,1.773894437,0.524248715,Not packed
2.024904387,1.680469118,-0.344435269,Not packed
2.041522185,1.743960701,-0.297561484,Not packed
1.196841179,0.856695005,-0.340146174,Not packed
4.717770693,3.379307012,-1.338463681,Not packed
1.186727984,1.849857066,0.663129082,Not packed
2.164636162,1.805420676,-0.359215486,Not packed
1.204822359,1.934578282,0.729755923,Not packed
0.892584812,0.806569474,-0.086015339,Not packed
3.132625404,2.598772543,-0.533852861,Not packed
2.089739484,2.72497301,0.635233526,Not packed
2.231537878,1.719543374,-0.511994504,Not packed
1.154440994,1.789530858,0.635089864,Not packed
1.187594947,0.870741552,-0.316853395,Not packed
2.313706022,1.798711456,-0.514994565,Not packed
1.697832603,1.891991399,0.194158795,Not packed
2.135973006,1.723914769,-0.412058237,Not packed
1.907800672,2.604833674,0.697033002,Not packed
1.198336455,0.852050485,-0.34628597,Not packed
3.353270465,2.646488019,-0.706782445,Not packed
1.819755113,1.82623161,0.006476497,Not packed
1.931607982,1.928022282,-0.0035857,Not packed
1.172038064,0.851360376,-0.320677687,Not packed
2.058774991,1.681303205,-0.377471786,Not packed
1.131957758,0.820012676,-0.311945082,Not packed
1.259108346,1.815521739,0.556413393,Not packed
1.204096774,0.844197806,-0.359898968,Not packed
3.176619177,2.654611104,-0.522008073,Not packed
1.171541344,0.862494159,-0.309047186,Not packed
1.489352415,1.908908213,0.419555797,Not packed
2.052952456,2.562795249,0.509842793,Not packed
1.556392689,1.909959629,0.35356694,Not packed
1.958245798,1.779597518,-0.17864828,Not packed
1.699247228,1.835144786,0.135897559,Not packed
2.795666761,2.843862688,0.048195927,Not packed
4.095210026,3.306192528,-0.789017498,Not packed
4.16545229,3.806347385,-0.359104904,Not packed
3.332888092,2.685673084,-0.647215009,Not packed
1.183318819,0.851152878,-0.332165941,Not packed
4.338696698,3.380862478,-0.95783422,Not packed
1.884114353,1.655869863,-0.22824449,Not packed
1.243435851,0.825910487,-0.417525364,Not packed
2.79022862,2.753267339,-0.036961281,Not packed
1.850562547,1.791829709,-0.058732838,Not packed
2.774520945,2.628784952,-0.145735993,Not packed
2.109584707,1.789455225,-0.320129482,Not packed
